iter	Passed	Remaining
859	1829	297
860	1830	295
861	1832	293
862	1833	291
863	1835	288
864	1836	286
865	1840	284
866	1842	282
867	1844	280
868	1846	278
869	1847	276
870	1848	273
871	1852	271
872	1854	269
873	1855	267
874	1857	265
875	1859	263
876	1860	260
877	1861	258
878	1863	256
879	1868	254
880	1872	252
881	1873	250
882	1874	248
883	1876	246
884	1877	243
885	1878	241
886	1880	239
887	1884	237
888	1886	235
889	1888	233
890	1889	231
891	1891	229
892	1893	226
893	1894	224
894	1896	222
895	1900	220
896	1903	218
897	1904	216
898	1905	214
899	1906	211
900	1907	209
901	1908	207
902	1915	205
903	1917	203
904	1918	201
905	1919	199
906	1921	196
907	1922	194
908	1923	192
909	1924	190
910	1926	188
911	1928	186
912	1930	183
913	1931	181
914	1933	179
915	1934	177
916	1935	175
917	1936	173
918	1937	170
919	1938	168
920	1939	166
921	1944	164
922	1944	162
923	1946	160
924	1947	157
925	1948	155
926	1950	153
927	1951	151
928	1952	149
929	1953	147
930	1954	144
931	1957	142
932	1959	140
933	1960	138
934	1962	136
935	1963	134
936	1965	132
937	1966	129
938	1967	127
939	1968	125
940	1971	123
941	1973	121
942	1974	119
943	1975	117
944	1977	115
945	1978	112
946	1979	110
947	1981	108
948	1981	106
949	1983	104
950	1984	102
951	1988	100
952	1989	98
953	1990	95
954	1992	93
955	1993	91
956	1995	89
957	1996	87
958	1997	85
959	1998	83
960	2003	81
961	2004	79
962	2006	77
963	2007	74
964	2009	72
965	2010	70
966	2011	68
967	2012	66
968	2013	64
969	2016	62
970	2018	60
971	2019	58
972	2020	56
973	2022	53
974	2023	51
975	2025	49
976	2026	47
977	2027	45
978	2028	43
979	2031	41
980	2033	39
981	2035	37
982	2037	35
983	2038	33
984	2040	31
985	2041	28
986	2042	26
987	2042	24
988	2043	22
989	2047	20
990	2048	18
991	2050	16
992	2051	14
993	2052	12
994	2053	10
995	2054	8
996	2055	6
997	2056	4
998	2057	2
999	2058	0
